#adm2,#population+num,#affected+dead+m+num,#affected+dead+f+num,#affected+injured+num,#destroyed+houses+num,#damaged+houses+num
Sindhupalchowk,287798,1497,1943,1571,63885,2751
Kathmandu,1744240,621,600,7859,37058,51030
Nuwakot,277471,456,625,1052,57957,4215
Dhading,336067,340,393,1218,43834,18778
RASUWA,43300,287,310,771,7040,2410
Gorkha,271061,213,230,952,44610,13917
Bhaktapur,304651,118,215,2101,18900,9090
Kavrepalanchowk,381937,129,189,1179,49933,23714
Lalitpur,468132,67,107,3052,17661,8262
Dolakha,186557,84,85,662,48908,3120
Ramechhap,202646,16,23,135,26797,13229
Makawanpur,420477,16,17,229,15058,17219
Solukhumbu,105886,15,5,100,8630,8970
Okhaldhunga,147984,10,10,61,10032,3298
Sindhuli,296192,5,9,231,18289,10259
Chitawan,579984,6,4,143,472,794
Sunsari,763487,2,7,35,2,105
Parsa,601017,1,5,50,0,47
Bara,687708,0,5,62,51,0
Lamjung,167724,3,2,40,8511,8924
Mahottari,627580,2,1,16,510,614
Rautahat,686722,1,2,38,70,208
Kaski,492098,1,2,38,1754,7008
Morang,965370,1,1,59,3,163
Bhojpur,182459,0,2,13,1414,3534
Sarlahi,769729,1,1,70,7,27
Taplejung,127461,0,1,7,51,505
Jhapa,812650,0,1,25,95,190
Terhathum,101577,1,0,14,91,663
Udayapur,317532,0,1,35,147,976
Siraha,637328,0,1,39,0,560
Dhanusha,754777,1,0,45,4,55
Nawalparasi,643508,0,1,41,446,3357
Palpa,261180,0,1,16,1436,2689
Gulmi,280160,0,1,11,2173,4634
Baglung,268613,0,1,14,1775,1967
Rolpa,224506,1,0,2,62,165
Rukum,208567,1,0,1,146,992
Panchthar,191817,0,0,9,251,931
Ilaam,290254,0,0,10,350,2074
Dhankuta,163412,0,0,5,929,1539
Shankhuwasabha,158742,0,0,8,1415,3239
Khotang,206312,0,0,8,2128,5041
Saptari,639284,0,0,24,0,383
Rupandehi,880696,0,0,39,2,96
Kapilbastu,571936,0,0,6,0,89
Arghakhanchi,197632,0,0,0,189,360
Shyanja,289148,0,0,24,5012,11878
Tanahu,323288,0,0,27,4899,14528
Manang,6538,0,0,1,71,297
Myagdi,113641,0,0,11,115,1077
Parbat,146590,0,0,21,1817,4232
Dang,552583,0,0,10,8,1108
Pyuthan,228102,0,0,9,3,66
Salyan,242444,0,0,2,25,299
Dolpa,36700,0,0,0,1,5
Mugu,55286,0,0,0,0,0
Humla,50858,0,0,0,0,0
Jumla,108921,0,0,2,0,2
Kalikot,136948,0,0,0,7,35
Jajarkot,171304,0,0,3,0,1885
Dailekh,261770,0,0,1,1,241
Surkhet,350804,0,0,3,1,42
Bardiya,426576,0,0,2,0,40
Banke,491313,0,0,1,0,81
Kailali,775709,0,0,1,0,9
Doti,211746,0,0,0,0,1
Achhaam,257477,0,0,0,0,0
Bajura,134912,0,0,0,0,1
Bajhang,195159,0,0,0,0,0
Darchula,133274,0,0,0,0,0
Baitadi,250898,0,0,0,0,0
Dadeldhura,142094,0,0,0,0,1
Kanchanpur,451248,0,0,1,0,1
