District;Blankets;Buckets with lid;Cash;Cash for Shelter (15,000 NPR);CGI Bundle (72ft/bundle);Clothes;Clothes (items);Construction Materials (Excluding CGI and Fixings);Cooking stoves;Fixings;Fuel (Liters);Household kits (excluding tarpaulins);IEC Materials (Printed);Jerry Cans (fuel);Kitchen Sets;Lighting (Lamps, Candles);Lighting (Solar lamps, 4 lighters);Mosquito Nets;Other (please specify on the comments);Other Cash;Sealing off kits (Tarp, rope and tire wire, floor/bed foam);Skilled Labour Support;Sleeping Mats;Solar lamps;Stoves;Tarpaulin;Technical Supervision Support;Tents;Took kits and fixings;Tool Kits;Tool Kits and fixings;Voucher;Vouchers;Winterization kit (as per Shelter Cluster guidance)
Baglung;200;;;;;;;;;;;;;;;;;;;;;;;;;314;;;;;;;;
Bhaktapur;8540;370;;300000;3663;;;;;222;;;;;;46;;1192;;18207500;;;4172;;;12396;;523;;1625;;;;
Chitawan;;;;;;;;;;;;;;;;;;;;;;;;;;250;;;;;;;;
Dhading;72291;4433;;1033119000;41215;;253;1858;;14863;;9880;1872;438;3265;572;;1628;6738;69020000;;;2393;795;;73101;194;950;;11927;;24;;1839
Dhankuta;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;
Dolakha;121392;5903;;1212135000;146303;7176;53138;;;9444;;1762;3588;;26255;18097;;11817;;152289270;;;;3588;;106627;;54;;18741;;;3713;3391
Gorkha;69096;;;826470166;14473;;47;14933;;11151;;3428;166;;12549;2345;;1073;8;11887500;;;17914;;;82768;;7161;;5567;;;3714;
Kabhrepalanchok;48115;9555;;65115000;17686;;48393;435621;;7625;;;;;16755;5668;;12698;;36105000;;;593;;;77044;;835;;6611;;;;
Kanchanpur;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;
Kaski;125;;;;;;5;200;;;;;;;5;5;;5;;4597500;;;;;;123;;;;;;;;
Kathmandu;8929;70;;615000;6889;;195;7748;;1200;;2761;;140;196;2105;;301;;11912704;;;3790;;;18407;;337;;576;;;;
Khotang;551;;;;;;;;;;;3844;;;;90;;551;;;;;;;;7154;;;;;;;;
Lalitpur;8228;5;;186870000;7433;;12;1369;;1453;;2064;;10;758;1494;;2135;;34030151;;;2520;;;18420;;243;;2519;;;;
Lamjung;7006;;;;5538;;18;;;4398;;;;;18;18;;18;;;;;5560;;;10098;;958;;1065;;;;
Makawanpur;10813;;5625000;118110000;4858;;13;;;;;;;;2176;13;;13;3138;126232500;;;;;;13118;;190;;2107;;;;
Mustang;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;
Myagdi;;;;;;;;;;;;;;;;;;;;;;;;;;450;;;;;;;;
Nawalparasi;120;;;;81;;;81;;;;;;;;;;;;;;;;;;120;;;;24;;;;
Nuwakot;68491;6186;;971325000;77470;;55062;225;;5340;;1870;;8726;16858;13263;;12240;2150;51742500;;;482;742;;47903;;462;100;8821;100;;;2365
Okhaldhunga;17020;;;21615000;4548;11370;;;;;;11897;;;1850;2163;;;;;;;;2274;;25529;;68;;4124;;;;
Panchthar;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;
Parbat;201;;;;;;1;;;;;;;;1;1;;1;;;;;;;;630;;;;;;;;
Ramechhap;9187;;;717840000;8729;5050;19;259;;259;;2985;;;119;2777;;539;;;;;;1010;;21072;;;;2046;;;;
Rasuwa;31055;1154;;;21432;;1252;12377;600;10817;;2348;;1998;2222;275;;1085;3110;13712000;;;6778;829;337;14144;;219;;7507;;;;
Sankhuwasabha;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;
Sindhuli;27636;153;;305940000;4220;;2;;;3600;;;4884;;1802;531;;6352;;795000;;;8553;;;28101;;255;;3357;;;;
Sindhupalchok;210854;4866;;1252125000;5123517;;48953;5329;;20097;;8784;;7278;38534;12133;;41812;946;116841000;6250;;24696;;;218723;;4929;;17976;;;2522;3350
Siraha;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solukhumbu;23957;1936;;;4818;;;;;;;;600;1200;;540;;;;;;;;;;15401;180;50;;2550;;;;
Sunsari;;;;;;;;;;;;;;;;144;;;;;;;;;;;;;;;;;;
Syangja;5;;;;;;5;;;;;;;;5;5;;5;;;;;;;;400;;;;;;;;
Tanahu;6;;;;;;6;;;;;;;;6;6;;6;;1717500;;;;;;43;;;;;;;;
Taplejung;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;
Udayapur;1;;;;;;1;;;;;;;;1;1;;1;;;;;;;;6291;;;;;;;;
